"country","city","metabolite","value_current","value_previous","year_current","year_previous","change_percent","change_percent2","SiteID","location","latitude","longitude","population","institution","website"
"FI","Kotka","amphetamine",125.95,,2024,,,"no previous data","FI010","Mussalo","60.45","26.89",95000,"THL/Forensic Toxicology","N/A"
"FI","Kouvola","amphetamine",146.96,,2024,,,"no previous data","FI011","Mäkikylä","60.8679","26.70405",70000,"THL/Forensic Toxicology","N/A"
"FI","Kuopio","amphetamine",205.7,,2024,,,"no previous data","FI012","Lehtoniemi","62.96","27.01",96034,"THL/Forensic Toxicology","N/A"
"FI","Lahti","amphetamine",216.24,,2024,,,"no previous data","FI013","Kariniemi","60.99","25.65",64000,"THL/Forensic Toxicology","N/A"
"FI","Lappeenranta","amphetamine",174.2,,2024,,,"no previous data","FI014","Toikansuo","60.93","27.3",71000,"THL/Forensic Toxicology","N/A"
"FI","Mariehamn","amphetamine",86.8,,2024,,,"no previous data","FI015","Lotsbroverket","60.09693","19.93482",20000,"THL/Forensic Toxicology","N/A"
"FI","Mikkeli","amphetamine",91.4,,2024,,,"no previous data","FI016","Metsä-Sairila","61.68852","27.27217",48626,"THL/Forensic Toxicology","N/A"
"FI","Oulu","amphetamine",140.06,,2024,,,"no previous data","FI017","Taskila","65.05","25.41",202600,"THL/Forensic Toxicology","N/A"
"FI","Pietarsaari","amphetamine",33.09,,2024,,,"no previous data","FI018","Alheda","63.67486","22.70256",41100,"THL/Forensic Toxicology","N/A"
"FI","Pori","amphetamine",61.32,,2024,,,"no previous data","FI019","Luotsinmäki","61.48519","21.79746",113000,"THL/Forensic Toxicology","N/A"
"FI","Porvoo","amphetamine",128.15,,2024,,,"no previous data","FI020","Hermanninsaari","60.34094426","25.61000702",50100,"THL/Forensic Toxicology","N/A"
"FI","Rauma","amphetamine",83.84,,2024,,,"no previous data","FI021","Maanpäänniemi","61.12724","21.51127",40000,"THL/Forensic Toxicology","N/A"
"FI","Rovaniemi","amphetamine",188.72,,2024,,,"no previous data","FI022","Alakorkalo","66.5","25.72",55000,"THL/Forensic Toxicology","N/A"
"FI","Savonlinna","amphetamine",78.4,,2024,,,"no previous data","FI024","Pihlajaniemi","61.86","28.85",24000,"THL/Forensic Toxicology","N/A"
"FI","Seinäjoki","amphetamine",53.08,,2024,,,"no previous data","FI025","Seinäjoki","62.79446","22.82822",55000,"THL/Forensic Toxicology","N/A"
"FI","Tampere","amphetamine",159.96,137.59,2024,2023,16.2584490151901,"increase","FI026","Viinikanlahti","61.49","23.77",2e+05,"THL/Forensic Toxicology","N/A"
"FI","Turku","amphetamine",167.53,117.26,2024,2023,42.8705440900563,"increase","FI027","Kakolanmäki","60.44","22.24",3e+05,"THL/Forensic Toxicology","N/A"
"FI","Vaasa","amphetamine",73.9,,2024,,,"no previous data","FI028","Patt","63.1","21.62",69252,"THL/Forensic Toxicology","N/A"
"FI","Vihti","amphetamine",65.47,,2024,,,"no previous data","FI029","Nummela","60.41699","24.31965",17500,"THL/Forensic Toxicology","N/A"
"FR","Paris Seine Centre","amphetamine",5.85,0,2024,2023,Inf,"increase","FR005","Seine Centre","48.95","2.27",2700000,"METIS","N/A"
"GR","Athens","amphetamine",12.98,,2024,,,"no previous data","GR001","City of Athens WWTP","37.9928017","23.7658005",3507341,"Laboratory of Analytical Chemistry (LAC) of the Department of Chemistry of the National and Kapodistrian University of Athens (NKUA)","N/A"
"HR","Split","amphetamine",79.93,,2024,,,"no previous data","HR001","Wastewater sampling site at Katalinića Brig, Split","43.51526542","16.44159294",110000,"Department for Water Safety and Supply","N/A"
"HR","Zagreb","amphetamine",82.75,98.29,2024,2023,-15.8103571065215,"decrease","HR002","Central wastewater treatment plant of the city of Zagreb ","45.7929993","15.9463997",650000,"Laboratory for analytical chemistry and biogeochemistry of organic compounds","N/A"
"HU","Budapest","amphetamine",203.79,,2024,,,"no previous data","HU001","N/A","47.50155794","19.04200692",912698,"N/A","N/A"
"IE","Dublin","amphetamine",23.61,,2024,,,"no previous data","IE001","Ringsend ","53.34874586","-6.277189185",1980000,"N/A","N/A"
"IT","Bologna","amphetamine",2.9,,2024,,,"no previous data","IT001","IDAR Bologna","44.55171862","11.36449646",6e+05,"Mario Negri Institute","N/A"
"IT","Bozen","amphetamine",2.75,2.56,2024,2023,7.421875,"stable","IT002","Kläranlage Bozen","46.49672","11.358",280000,"Medical University Innsbruck","N/A"
"IT","Milan","amphetamine",4.05,6.6,2024,2023,-38.6363636363636,"decrease","IT003","Nosedo","45.4337997","9.2213602",1148738,"Mario Negri Institute","N/A"
"IT","Rome","amphetamine",0,,2024,,,"no previous data","IT004","Roma Sud","41.812778","12.4252602",1100000,"Mario Negri Institute","N/A"
"LT","Klaipeda","amphetamine",21.86,19.12,2024,2023,14.3305439330544,"increase","LT002","Klaipeda","55.78282","21.49279",305333,"Toxicological Centre","N/A"
"LT","Vilnius","amphetamine",57.16,66.07,2024,2023,-13.485696988043,"decrease","LT003","Vilniaus vandenys","54.687156","25.279651",576727,"Toxicological Centre","N/A"
"LU","Luxembourg","amphetamine",8.05,,2024,,,"no previous data","LU002","Beggen","49.61164191","6.12649945",157873,"Laboratoire national de santé","N/A"
"LV","Riga","amphetamine",139.03,160.07,2024,2023,-13.1442493908915,"decrease","LV001","Riga","56.94965","24.105186",607381,"Toxicological Centre","N/A"
"NL","Amsterdam","amphetamine",172.25,122.02,2024,2023,41.1653827241436,"increase","NL001","RWZI Amsterdam-WEST","52.375","4.8666668",699648,"KWR Water Research Institute","N/A"
"NL","Eindhoven","amphetamine",311.26,,2024,,,"no previous data","NL002","RWZI Eindhoven","51.4421082","5.4800701",468599,"KWR Water Research Institute","N/A"
"NL","Groningen","amphetamine",247.35,,2024,,,"no previous data","NL003","RWZI Garmerwolde","53.24730146","6.670277244",250722,"KWR Water Research Institute","N/A"
"NL","Rotterdam (2)","amphetamine",173.2,237.16,2024,2023,-26.9691347613426,"decrease","NL007","RWZI Dokhaven; RWZI Kralinserveer","51.92288","4.47847",619563,"N/A","N/A"
"NL","Utrecht","amphetamine",304.26,,2024,,,"no previous data","NL010","RWZI Utrecht","52.0858002","5.1308398",273738,"KWR Water Research Institute","N/A"
"NL","Zwolle","amphetamine",272.17,,2024,,,"no previous data","NL011","RWZI Zwolle","52.51015878","6.049675057",125418,"KWR Water Research Institute","N/A"
"NO","Bergen (2)","amphetamine",430.06,,2024,,,"no previous data","NO001","Bergen ","60.39453688","5.289335039",117936,"N/A","N/A"
"NO","Oslo (2)","amphetamine",296.7,,2024,,,"no previous data","NO007","Oslo","59.91124354","10.75077126",929199,"N/A","N/A"
"NO","Trondheim (2)","amphetamine",394.43,,2024,,,"no previous data","NO009","Trondheim","-36.85091","174.75761",211876,"N/A","N/A"
"PL","Krakow P","amphetamine",79.72,66.89,2024,2023,19.1807445059052,"increase","PL003","Krakow Plaszow","50.06","19.94",680000,"Mario Negri Institute","N/A"
"PT","Almada","amphetamine",5.28,1.09,2024,2023,384.403669724771,"increase","PT001","Mutela","38.675187","-9.154345",138685,"INMLCF","N/A"
"PT","Lisbon","amphetamine",18.36,4.9,2024,2023,274.69387755102,"increase","PT002","Alcântara","38.7044907","-9.1754999",426964,"INMLCF","N/A"
"PT","Porto","amphetamine",10.97,0,2024,2023,Inf,"increase","PT003","Porto","41.157944","-8.629105",150000,"IAQBUS","N/A"
"RO","Bucharest","amphetamine",4.97,3.73,2024,2023,33.2439678284182,"increase","RO001","Glina","44.4275","26.10081",2142929,"Toxicological Centre","N/A"
"SE","Gävle","amphetamine",518.28,557.12,2024,2023,-6.97156806433085,"stable","SE002","Duvbacken ARV","60.674622","17.14183",88668,"RISE","N/A"
"SE","Karlstad","amphetamine",366.66,,2024,,,"no previous data","SE003","N/A","59.40122537","13.5112195",72000,"RISE","N/A"
"SE","Stockholm (2)","amphetamine",362.4,,2024,,,"no previous data","SE005","Bromma (BIN); Henriksdals reningsverk","59.329323","18.068581",760407,"N/A","N/A"
"SE","Trollhättan","amphetamine",279.39,,2024,,,"no previous data","SE009","N/A","58.28333667","12.28669083",59073,"RISE","N/A"
"SE","Växjö","amphetamine",120.1,143.31,2024,2023,-16.1956597585654,"decrease","SE012"," Sundets ARV","56.858257","14.761215",75410,"RISE","N/A"
"SI","Domžale-Kamnik","amphetamine",2.83,0,2024,2023,Inf,"increase","SI001","Domžale-Kamnik","46.13788","14.59384",82579,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI","Koper","amphetamine",13.68,0,2024,2023,Inf,"increase","SI002","Central wastewater treatment plant Koper","45.548058","13.730188",52118,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI","Kranj","amphetamine",20.6,0,2024,2023,Inf,"increase","SI003","Central wastewater treatment plant Kranj","46.242834","14.355542",53222,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI","Ljubljana","amphetamine",25.51,16.76,2024,2023,52.2076372315036,"increase","SI004","Central wastewater treatment plant Ljubljana","46.056947","14.505751",282687,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI","Maribor","amphetamine",32.51,30.25,2024,2023,7.47107438016528,"stable","SI005","Maribor","46.55734","15.64591",129000,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI","Novo mesto","amphetamine",9.82,4.03,2024,2023,143.672456575682,"increase","SI006","Wastewater treatment plant Novo mesto","45.804211","15.16969",25433,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI","Velenje","amphetamine",58.28,135.08,2024,2023,-56.8551969203435,"decrease","SI007","Central wastewater treatment plant Šaleške Doline (Šalek Valley)","46.362274","15.110658",33062,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SK","Bratislava C","amphetamine",12.47,,2024,,,"no previous data","SK002","Central","48.14925","17.106991",450000,"University of South Bohemia in České Budejovice - Vodňany","N/A"
"SK","Piestany","amphetamine",7.62,,2024,,,"no previous data","SK004","Piestany","48.5918007","17.8019009",35000,"University of South Bohemia in České Budejovice - Vodňany","N/A"
"TR","Ankara","amphetamine",6.73,8.69,2024,2023,-22.5546605293441,"decrease","TR002","Tatlar","39.93436","32.88606",4735531,"Ankara- Lab139","N/A"
"TR","Istanbul (II-VII)","amphetamine",5.9,,2024,,,"no previous data","TR004","ATAKÖY; BALTALİMANI; KADIKÖY; KÜÇÜKÇEKMECE; TUZLA; YENİKAPI","41.013","28.9748",16525000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa","https://adlitip.istanbulc.edu.tr/tr/_"
"AT","Graz","cannabis",66.17,64.2,2024,2023,3.06853582554517,"stable","AT001","ARA Graz","47.070713","15.439504",425000,"Medical University Innsbruck","N/A"
"AT","Hall-Wattens","cannabis",49.73,49.2,2024,2023,1.07723577235771,"stable","AT002","Abwasserverband Hall in Tirol-Fritzens","47.29168","11.59284",76000,"Medical University Innsbruck","N/A"
"AT","Innsbruck","cannabis",79.05,84.29,2024,2023,-6.21663305255666,"stable","AT004","ARA Innsbruck","47.269212","11.404102",249000,"Medical University Innsbruck","N/A"
